HGNC.symbol	PROBEID
MT-ND1	1553551_s_at
MT-TI	1553551_s_at
MT-TM	1553551_s_at
MT-ND2	1553551_s_at
MT-CO1	1553569_at
MT-CO1	1553538_s_at
MT-CO1	1553570_x_at
MT-TD	1553569_at
MT-TD	1553570_x_at
MT-CO2	1553569_at
MT-CO2	1553567_s_at
MT-CO2	1553570_x_at
MT-TK	1553567_s_at
MT-ATP8	1553567_s_at
MT-ATP6	1553567_s_at
NUTM2G	234414_at
MT-CO3	1553588_at
MT-TG	1553588_at
MT-ND3	1553588_at
MT-TR	1553588_at
FSCB	224274_at
MT-ND4L	1553588_at
MT-ND4L	224373_s_at
MT-ND4	224373_s_at
MT-ND4	224372_at
C9orf131	230985_at
C9orf131	230985_at
C9orf131	230985_at
MT-ND5	211600_at
MT-ND5	1555653_at
MT-ND6	1553575_at
MT-TE	1553575_at
SNORA17B	1552729_at
PPP1R2	202166_s_at
PPP1R2	202165_at
PPP1R2	202166_s_at
PPP1R2	202166_s_at
PPP1R2	202166_s_at
PPP1R2	236754_at
NEK2	204641_at
NEK2	211080_s_at
NEK2	204641_at
NEK2	204641_at
NEK2	211080_s_at
NEK2	211080_s_at
STARD7	200028_s_at
STARD7	200028_s_at
TDP2	202266_at
TDP2	202266_at
TDP2	202266_at
MIR6752	201782_s_at
PAQR3	1557576_at
PAQR3	1557576_at
PAQR3	1557576_at
PAQR3	213372_at
PAQR3	1557576_at
PAQR3	1557576_at
PAQR3	213372_at
PAQR3	1557576_at
PAQR3	213372_at
PECR	221142_s_at
PECR	223619_x_at
PECR	221142_s_at
PECR	223619_x_at
PECR	221142_s_at
PECR	221142_s_at
PECR	221142_s_at
SNORD65	225065_x_at
TMEM39A	218615_s_at
TMEM39A	222690_s_at
TMEM39A	241374_at
TMEM39A	218615_s_at
TMEM39A	222690_s_at
TMEM39A	241374_at
TMEM39A	218615_s_at
TMEM39A	222690_s_at
TMEM39A	241374_at
ZNF671	219849_at
ZNF671	219849_at
ZNF671	219849_at
MIR1229	224598_at
SEC16B	239618_at
SEC16B	1552880_at
SEC16B	228150_at
SEC16B	1564423_a_at
SEC16B	1552880_at
SEC16B	228150_at
SEC16B	1564423_a_at
SEC16B	1552880_at
SEC16B	228150_at
SEC16B	1564423_a_at
SEC16B	1552880_at
SEC16B	228150_at
SEC16B	1564423_a_at
SEC16B	1555289_at
SEC16B	1555289_at
RN7SKP54	232321_at
SNORA44	228990_at
CATSPERG	221316_at
CATSPERG	231261_at
CATSPERG	234353_at
CATSPERG	221316_at
CATSPERG	231261_at
CATSPERG	234353_at
CATSPERG	221316_at
CATSPERG	231261_at
CATSPERG	234353_at
CATSPERG	221316_at
CATSPERG	231261_at
CATSPERG	234353_at
CATSPERG	234353_at
CATSPERG	221316_at
CATSPERG	231261_at
CATSPERG	234353_at
CATSPERG	234353_at
CATSPERG	221316_at
CATSPERG	231261_at
SLC38A2	218041_x_at
SLC38A2	222982_x_at
SLC38A2	220924_s_at
SLC38A2	218041_x_at
SLC38A2	222982_x_at
SLC38A2	220924_s_at
SLC38A2	218041_x_at
SLC38A2	222982_x_at
SLC38A2	220924_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
POLR2I	212955_s_at
MIR601	219763_at
ZBTB44	1554469_at
ZBTB44	225845_at
ZBTB44	226148_at
ZBTB44	1554470_s_at
